feature,pairs,median(A-B),mean(A-B),p_value
baseline_17climate_food,12,-0.03515,-0.06069166666666667,0.0068359375
tlags_17climate_food,12,-0.011149999999999998,-0.03487500000000001,0.1513671875
tlags_count_moder_drought_prev10,12,0.0024,-0.01325,0.791015625
tlags_cropprop,12,0.0008500000000000001,-0.018133333333333335,0.7333984375
tlags_growseasdummy,12,-0.0009499999999999999,-0.006866666666666668,0.90966796875
tlags_pred_growseasdummys,12,-0.0015,0.006274999999999999,0.5693359375
tlags_tlag1_dr_mod_gs__pred_growseasdummy,12,0.00345,0.009066666666666667,0.20361328125
tlags_spei1_gs_prev10,12,-0.005,-0.01813333333333333,0.5185546875
tlags_spei1_gs_prev10_anom,12,-0.006200000000000001,-0.024650000000000002,0.423828125
tlags_spei1_gsm_cv_anom,12,-0.0056,-0.009566666666666668,0.791015625
tlags_spei1_gsm_detrend,12,-0.0033999999999999994,-0.0206,0.423828125
tlags_spei1gsy_lowermedian_count,12,-0.01,-0.013433333333333332,0.6220703125
tlags_spei_48_detrend,12,-0.004999999999999999,-0.014041666666666668,0.17626953125
tlags_tlag1_dr_mod_gs,12,0.007600000000000001,0.005975000000000001,0.26611328125
tlags_tlag_12_irr_maincrops,12,-9.999999999999983e-05,-0.014258333333333333,0.791015625
tlags_tlag_12_rainf_maincrops,12,-0.00415,-0.007066666666666666,0.26611328125
tlags_tlag1_dr_moder_gs,12,-0.00625,-0.009358333333333331,0.38037109375
tlags_tlag_12_harvarea_maincrops,12,-0.0068000000000000005,-0.023716666666666667,0.2333984375
tlags_tlag_12_crop_sum,12,-0.006149999999999999,-0.018883333333333332,0.26611328125
tlags_tlag1_dr_sev_gs,12,0.0048,0.0038666666666666663,0.423828125
tlags_tlag1_spei1_gsm,12,-0.00010000000000000026,-0.008349999999999998,0.791015625
